INFO: [SIM 2] *************** CSIM start ***************
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 3141 - actual_D != 3141- expted_D
ERROR -18 - actual_X1 != -12- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 115376 - actual_D != 115376- expted_D
ERROR -48 - actual_X1 != -32- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 61444 - actual_D != 61444- expted_D
ERROR -49 - actual_X1 != -33- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 3417 - actual_D != 3417- expted_D
ERROR -7 - actual_X1 != -4- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 79460 - actual_D != 79460- expted_D
ERROR -141 - actual_X1 != -94- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 30605 - actual_D != 30605- expted_D
ERROR -35 - actual_X1 != -23- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 63865 - actual_D != 63865- expted_D
ERROR -28 - actual_X1 != -18- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 151069 - actual_D != 151069- expted_D
ERROR -43 - actual_X1 != -28- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 9928 - actual_D != 9928- expted_D
ERROR -50 - actual_X1 != -33- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 129440 - actual_D != 129440- expted_D
ERROR -72 - actual_X1 != -48- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 71760 - actual_D != 71760- expted_D
ERROR -67 - actual_X1 != -44- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 2801 - actual_D != 2801- expted_D
ERROR -26 - actual_X1 != -17- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 256 - actual_D != 256- expted_D
ERROR -2 - actual_X1 != -1- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 65428 - actual_D != 65428- expted_D
ERROR -28 - actual_X1 != -18- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 12432 - actual_D != 12432- expted_D
ERROR -27 - actual_X1 != -18- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 5728 - actual_D != 5728- expted_D
ERROR -19 - actual_X1 != -12- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 17284 - actual_D != 17284- expted_D
ERROR -26 - actual_X1 != -17- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 12964 - actual_D != 12964- expted_D
ERROR -114 - actual_X1 != -76- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 8633 - actual_D != 8633- expted_D
ERROR -23 - actual_X1 != -15- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 166436 - actual_D != 166436- expted_D
ERROR -58 - actual_X1 != -38- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 1521 - actual_D != 1521- expted_D
ERROR -8 - actual_X1 != -5- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 101757 - actual_D != 101757- expted_D
ERROR -319 - actual_X1 != -212- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 109417 - actual_D != 109417- expted_D
ERROR -55 - actual_X1 != -36- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 244885 - actual_D != 244885- expted_D
ERROR -99 - actual_X1 != -66- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 51052 - actual_D != 51052- expted_D
ERROR -113 - actual_X1 != -75- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 37576 - actual_D != 37576- expted_D
ERROR -38 - actual_X1 != -25- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 213348 - actual_D != 213348- expted_D
ERROR -115 - actual_X1 != -77- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 209732 - actual_D != 209732- expted_D
ERROR -57 - actual_X1 != -38- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 4456 - actual_D != 4456- expted_D
ERROR -11 - actual_X1 != -7- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 15021 - actual_D != 15021- expted_D
ERROR -41 - actual_X1 != -27- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 100409 - actual_D != 100409- expted_D
ERROR -63 - actual_X1 != -42- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 129420 - actual_D != 129420- expted_D
ERROR -72 - actual_X1 != -48- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 3141 - actual_D != 3141- expted_D
ERROR -18 - actual_X1 != -12- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 115376 - actual_D != 115376- expted_D
ERROR -48 - actual_X1 != -32- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 61444 - actual_D != 61444- expted_D
ERROR -49 - actual_X1 != -33- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 3417 - actual_D != 3417- expted_D
ERROR -7 - actual_X1 != -4- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 79460 - actual_D != 79460- expted_D
ERROR -141 - actual_X1 != -94- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 30605 - actual_D != 30605- expted_D
ERROR -35 - actual_X1 != -23- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 63865 - actual_D != 63865- expted_D
ERROR -28 - actual_X1 != -18- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 151069 - actual_D != 151069- expted_D
ERROR -43 - actual_X1 != -28- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 9928 - actual_D != 9928- expted_D
ERROR -50 - actual_X1 != -33- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 129440 - actual_D != 129440- expted_D
ERROR -72 - actual_X1 != -48- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 71760 - actual_D != 71760- expted_D
ERROR -67 - actual_X1 != -44- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 2801 - actual_D != 2801- expted_D
ERROR -26 - actual_X1 != -17- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 256 - actual_D != 256- expted_D
ERROR -2 - actual_X1 != -1- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 65428 - actual_D != 65428- expted_D
ERROR -28 - actual_X1 != -18- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 12432 - actual_D != 12432- expted_D
ERROR -27 - actual_X1 != -18- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 5728 - actual_D != 5728- expted_D
ERROR -19 - actual_X1 != -12- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 17284 - actual_D != 17284- expted_D
ERROR -26 - actual_X1 != -17- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 12964 - actual_D != 12964- expted_D
ERROR -114 - actual_X1 != -76- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 8633 - actual_D != 8633- expted_D
ERROR -23 - actual_X1 != -15- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 166436 - actual_D != 166436- expted_D
ERROR -58 - actual_X1 != -38- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 1521 - actual_D != 1521- expted_D
ERROR -8 - actual_X1 != -5- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 101757 - actual_D != 101757- expted_D
ERROR -319 - actual_X1 != -212- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 109417 - actual_D != 109417- expted_D
ERROR -55 - actual_X1 != -36- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 244885 - actual_D != 244885- expted_D
ERROR -99 - actual_X1 != -66- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 51052 - actual_D != 51052- expted_D
ERROR -113 - actual_X1 != -75- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 37576 - actual_D != 37576- expted_D
ERROR -38 - actual_X1 != -25- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 213348 - actual_D != 213348- expted_D
ERROR -115 - actual_X1 != -77- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 209732 - actual_D != 209732- expted_D
ERROR -57 - actual_X1 != -38- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
ERROR 4456 - actual_D != 4456- expted_D
ERROR -11 - actual_X1 != -7- expted_X1
ERROR 0 - actual_X2 != 0- expted_X2
_________Fail!_________

ERR: [SIM 100] 'csim_design' failed: nonzero return value.
INFO: [SIM 3] *************** CSIM finish ***************
